publish_year,total
2022,82
2021,807
2020,956
2019,1151
2018,1341
2017,1013
2016,877
2015,627
2014,661
2013,518
2012,484
2011,534
2010,468
2009,492
2008,430
2007,438
2006,404
2005,345
2004,344
2003,294
2002,196
2001,139
2000,120
1999,106
1998,119
1997,100
1996,96
1995,99
1994,87
1993,90
1992,72
1991,66
1990,68
1989,59
1988,67
1987,55
1986,56
1985,58
1984,45
1983,42
1982,40
1981,32
1980,32
1979,27
1978,22
1977,25
1976,24
1975,19
1974,22
1973,28
1972,23
1971,20
1970,17
1969,13
1968,20
1967,20
1966,11
1965,11
1964,17
1963,22
1962,16
1961,19
1960,6
1959,10
1958,10
1957,13
1956,12
1955,12
1954,10
1953,11
1952,7
1951,7
1950,11
1949,2
1948,7
1947,5
1946,8
1945,3
1944,5
1943,2
1942,6
1941,9
1940,5
1939,3
1938,4
1937,1
1936,1
1935,3
1934,3
1933,4
1932,3
1931,3
1930,1
1929,4
1928,2
1927,3
1925,2
1924,1
1923,1
1921,2
1915,1
1903,1
1902,1
