publish_year,profit
2022,327974490.0
2021,27242419509.0
2020,4729097350.0
2019,76230960649.0
2018,79910378338.0
2017,64981064625.0
2016,54999830111.0
2015,39765890661.0
2014,35476380033.0
2013,34055648954.0
2012,35464905950.0
2011,31731711250.0
2010,29975046116.0
2009,32286916795.0
2008,26383284691.0
2007,24628414464.0
2006,21450361775.0
2005,20298366978.0
2004,21717530677.0
2003,20955966406.0
2002,14103624763.0
2001,8736359712.0
2000,6657421675.0
1999,7288925173.0
1998,6480052796.0
1997,7635208480.0
1996,5513904443.0
1995,5205621052.0
1994,5206914177.0
1993,4538023791.0
1992,4232032218.0
1991,3428503654.0
1990,4334957991.0
1989,4082610918.0
1988,2928890764.0
1987,2519488829.0
1986,1940018068.0
1985,1888716098.0
1984,1820544581.0
1983,1650544751.0
1982,2434289651.0
1981,1289325549.0
1980,1289183154.0
1979,1046079653.0
1978,1044391440.0
1977,1777794541.0
1976,514332572.0
1975,814928295.0
1974,554432200.0
1973,1035685436.0
1972,490921539.0
1971,342674798.0
1970,387199527.0
1969,429683107.0
1968,253848855.0
1967,647211931.0
1966,70593889.0
1965,651349369.0
1964,264302897.0
1963,227781670.0
1962,180605902.0
1961,161090779.0
1960,104098053.0
1959,89551152.0
1958,30892672.0
1957,50158000.0
1956,183110660.0
1955,43109004.0
1954,77285514.0
1953,142654651.0
1952,23829200.0
1951,582679948.0
1950,270785983.0
1949,2411712.0
1948,6483609.0
1947,8534124.0
1946,52350000.0
1945,9750000.0
1944,2552738.0
1943,0.0
1942,280509650.0
1941,111592092.0
1940,480843579.0
1939,39650350.0
1938,185385063.0
1937,0.0
1936,0.0
1935,1606250.0
1934,5371592.0
1933,9328000.0
1932,0.0
1931,14804000.0
1930,1821136.0
1929,0.0
1928,0.0
1927,-399578.0
1925,3077000.0
1924,0.0
1923,1379000.0
1921,2240811.0
1915,10900000.0
1903,0.0
1902,0.0
